HRGM name	Genome name	GTDB Taxonomy	Member Count	Continents	Country	Study	Genome type	16S rRNA	Quality	Completeness (%)	Contamination (%)	N50 (bp)	Genome Length (bp)
HRGM_Genome_0980	GUT_GENOME211769	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	EBI	MAG		HQ	94.09	0.92	6390	1895587
HRGM_Genome_0981	GUT_GENOME211792	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	EBI	MAG		HQ	100	0.81	40433	2113240
HRGM_Genome_0982	GUT_GENOME035750	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	42	Asia	China	CIBIO;HGM;EBI	MAG	Indirect	HQ	99.19	0.81	88905	2218408
HRGM_Genome_0983	GUT_GENOME212497	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	EBI	MAG		HQ	92.34	1.08	14177	1896416
HRGM_Genome_0984	GUT_GENOME035792	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	2	Asia	China	EBI	MAG	Direct	HQ	99.19	0.81	110825	2326911
HRGM_Genome_0985	GUT_GENOME035907	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	1	Asia	China	EBI	MAG		HQ	96.45	4.23	32815	2188673
HRGM_Genome_0986	GUT_GENOME037249	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Asia	China	EBI	MAG		HQ	100	1.61	87038	2267424
HRGM_Genome_0987	GUT_GENOME037311	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	3	Asia	China	EBI	MAG		HQ	99.19	0.81	77604	2190850
HRGM_Genome_0988	GUT_GENOME037885	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Asia	China	EBI	MAG		HQ	100	0.81	71799	2256268
HRGM_Genome_0989	GUT_GENOME037977	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	EBI	MAG		HQ	99.19	1.28	35055	2096757
HRGM_Genome_0990	GUT_GENOME038182	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Asia	China	EBI	MAG		HQ	98.66	0.81	87895	2197901
HRGM_Genome_0991	GUT_GENOME038356	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	1	Asia	China	EBI	MAG		HQ	100	1.61	102401	2326547
HRGM_Genome_0992	GUT_GENOME039656	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	4	North America	United States	EBI	MAG		MQ	75.61	1.69	5991	1614838
HRGM_Genome_0993	GUT_GENOME000243	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_E	3	Europe	United Kingdom	PATRIC/IMG;HBC;EBI	MAG;Isolate	Direct	HQ	99.19	0.81	61305	2187920
HRGM_Genome_0994	GUT_GENOME083570	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	95.97	0.81	48468	2149360
HRGM_Genome_0995	GUT_GENOME083985	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		MQ	69.29	0.81	6087	1615884
HRGM_Genome_0996	GUT_GENOME084084	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		MQ	85.62	3.3	7389	2122715
HRGM_Genome_0997	GUT_GENOME084181	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	92.74	1.61	31912	2024069
HRGM_Genome_0998	GUT_GENOME084234	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		MQ	89.52	1.84	11493	1940597
HRGM_Genome_0999	GUT_GENOME084378	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	95.16	0.81	55465	2064336
HRGM_Genome_1000	GUT_GENOME084630	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	91.13	0.81	134498	2166498
HRGM_Genome_1001	GUT_GENOME084693	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	90.32	1.08	19464	2009504
HRGM_Genome_1002	GUT_GENOME084946	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	3	Asia	China	HGM	MAG		MQ	89.52	0.81	77410	1967661
HRGM_Genome_1003	GUT_GENOME085056	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	1	Asia	China	HGM	MAG	Direct	HQ	92.74	0.81	40003	2080195
HRGM_Genome_1004	GUT_GENOME085076	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	94.35	1.61	50486	2015191
HRGM_Genome_1005	GUT_GENOME085247	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		MQ	85.48	0.92	15403	1954271
HRGM_Genome_1006	GUT_GENOME085403	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Asia	China	HGM	MAG		MQ	81.47	1.69	3309	1873531
HRGM_Genome_1007	GUT_GENOME086641	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		MQ	88.71	0.81	25432	1896149
HRGM_Genome_1008	GUT_GENOME086831	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	32	Europe;Oceania;Asia	Spain;Denmark;China;Sweden;Fiji	CIBIO;HGM;EBI	MAG	Indirect	HQ	98.39	0.81	37178	2046686
HRGM_Genome_1009	GUT_GENOME087542	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	10	Europe	Austria;Denmark;Estonia;Finland	CIBIO;HGM;EBI	MAG	Indirect	HQ	99.19	0.81	77992	2212762
HRGM_Genome_1010	GUT_GENOME088178	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Europe	Austria	HGM;EBI	MAG		HQ	96.77	0.81	41829	2008323
HRGM_Genome_1011	GUT_GENOME088921	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	6	Europe	Austria;Netherlands	CIBIO;HGM	MAG		HQ	99.19	0.81	36436	1950666
HRGM_Genome_1012	GUT_GENOME089665	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Europe	Austria	HGM	MAG		HQ	98.39	0	46692	2216826
HRGM_Genome_1013	GUT_GENOME090571	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Europe	Austria	HGM	MAG		HQ	95.97	1.08	54762	1990943
HRGM_Genome_1014	GUT_GENOME213260	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		MQ	72.17	2.93	2936	1829217
HRGM_Genome_1015	GUT_GENOME213415	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		HQ	96.77	0.81	40563	2053088
HRGM_Genome_1016	GUT_GENOME213516	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	North America	United States	CIBIO;HGM	MAG		HQ	94.35	0	12718	2019280
HRGM_Genome_1017	GUT_GENOME215200	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		HQ	97.58	0.81	30118	2174245
HRGM_Genome_1018	GUT_GENOME215548	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	North America	United States	CIBIO;HGM	MAG		MQ	84.68	1.61	14058	1966664
HRGM_Genome_1019	GUT_GENOME215615	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG	Direct	MQ	73.66	1.61	8024	1760789
HRGM_Genome_1020	GUT_GENOME215855	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	3	North America	United States	CIBIO;HGM	MAG		MQ	88.71	0.81	22907	2059867
HRGM_Genome_1021	GUT_GENOME215898	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		HQ	92.34	0.92	16609	2075844
HRGM_Genome_1022	GUT_GENOME217399	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	North America	United States	HGM	MAG	Direct	MQ	85.93	1.61	13590	1884191
HRGM_Genome_1023	GUT_GENOME217915	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		MQ	77.3	2.28	7568	1586321
HRGM_Genome_1024	GUT_GENOME218039	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	South America	Peru	HGM	MAG		HQ	95.05	4.84	20072	2233075
HRGM_Genome_1025	GUT_GENOME218153	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	11	South America	Peru	HGM	MAG	Indirect	HQ	95.16	0.81	81142	2060735
HRGM_Genome_1026	GUT_GENOME218496	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	17	Europe;South America;Asia;North America	Mongolia;France;United Kingdom;Peru;El Salvador;Canada;China;Israel;United States	CIBIO;HGM;EBI	MAG	Direct	HQ	100	0.81	90695	2452306
HRGM_Genome_1027	GUT_GENOME218730	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	South America	Peru	HGM	MAG	Direct	HQ	96.77	1.61	62422	2117693
HRGM_Genome_1028	GUT_GENOME218782	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	South America	Peru	HGM	MAG	Direct	HQ	94.35	1.61	90874	2118625
HRGM_Genome_1029	GUT_GENOME218819	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		HQ	99.19	0.81	71624	2062133
HRGM_Genome_1030	GUT_GENOME219168	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		MQ	84.58	3.79	2708	2589662
HRGM_Genome_1031	GUT_GENOME225044	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Europe	Estonia	HGM	MAG		MQ	55.73	0.89	1820	1388393
HRGM_Genome_1032	GUT_GENOME225805	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Africa	United Republic of Tanzania	HGM	MAG		MQ	64.86	2.13	1786	1648873
HRGM_Genome_1033	GUT_GENOME225966	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	North America	United States	HGM	MAG		MQ	76.56	0.62	2971	1662291
HRGM_Genome_1034	GUT_GENOME066317	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Europe	Sweden	CIBIO;HGM	MAG		HQ	97.58	2.42	27967	1980681
HRGM_Genome_1035	GUT_GENOME227574	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		HQ	93.55	1.61	30247	2245388
HRGM_Genome_1036	GUT_GENOME227600	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		MQ	79.72	2.25	10010	1956667
HRGM_Genome_1037	GUT_GENOME227824	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	1	Asia	China	HGM	MAG		MQ	89.52	1.61	64835	1933109
HRGM_Genome_1038	GUT_GENOME231309	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	North America	United States	HGM	MAG		MQ	87.97	1.21	24745	2070322
HRGM_Genome_1039	GUT_GENOME232929	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	87	Oceania	Fiji	CIBIO;HGM	MAG	Indirect	HQ	100	0.81	177785	2258691
HRGM_Genome_1040	GUT_GENOME234747	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Oceania	Fiji	HGM	MAG		HQ	94.84	2.42	103946	2286053
HRGM_Genome_1041	GUT_GENOME075185	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Europe	Spain	CIBIO;HGM	MAG		HQ	92.74	0.81	10876	1909854
HRGM_Genome_1042	GUT_GENOME066568	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Europe	Sweden	CIBIO;HGM	MAG		HQ	95.3	1.08	25839	1892407
HRGM_Genome_1043	GUT_GENOME238795	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	3	North America	United States	CIBIO;HGM;EBI	MAG	Indirect	HQ	92.78	0.88	4785	1938850
HRGM_Genome_1044	GUT_GENOME079004	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	3	Europe	Sweden;Denmark	CIBIO;HGM;EBI	MAG	Direct	MQ	83.9	2.25	5486	2045378
HRGM_Genome_1045	GUT_GENOME079106	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	4	Europe	Sweden;Denmark;Netherlands	CIBIO;HGM;EBI	MAG		MQ	78.93	0.27	7573	1602673
HRGM_Genome_1046	GUT_GENOME080486	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F	6	Europe	Sweden;Denmark	CIBIO;HGM;EBI	MAG		HQ	99.19	0.81	53343	2058974
HRGM_Genome_1047	GUT_GENOME081169	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Asia	China	HGM;EBI	MAG		MQ	85.94	0.81	24045	1938481
HRGM_Genome_1048	GUT_GENOME081368	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		HQ	97.58	0.81	107616	2026346
HRGM_Genome_1049	GUT_GENOME081696	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG	Direct	MQ	87.67	2.42	17653	1971180
HRGM_Genome_1050	GUT_GENOME082101	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1	Asia	China	HGM	MAG		MQ	85.48	0.81	81535	1919497
HRGM_Genome_1051	GUT_GENOME082924	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	2	Asia	China	HGM	MAG		MQ	87.9	0.81	51818	2008094
HRGM_Genome_1052	GUT_GENOME096458	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AA;s__Clostridium_AA polynesiense	1			NCBI	Isolate	Direct	HQ	98.39	2.35	36480	3560738
HRGM_Genome_1053	GUT_GENOME095981	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantarius	70	South America;Africa;Oceania;NA;Asia;North America	South Korea;NA;Bangladesh;Kazakhstan;Madagascar;Fiji;El Salvador;Canada;China	NCBI;HGM;KIJ;CIBIO;EBI	MAG;Isolate	Direct	HQ	99.63	0	144901	1925187
HRGM_Genome_1054	GUT_GENOME096173	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equinus	2	Europe;NA	NA;Italy	CIBIO;NCBI	MAG;Isolate	Direct	HQ	100	0.47	1382815	1741734
HRGM_Genome_1055	KIJ_genome_1990	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus	1	Asia	South Korea	KIJ	MAG		HQ	99.62	0.374	216553	2203494
HRGM_Genome_1056	GUT_GENOME001519	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	133	Africa;Oceania;North America;Asia;Europe	Denmark;Italy;Sweden;Bangladesh;France;United Kingdom;Madagascar;Fiji;Spain;China;Japan;Israel;United States	HGM;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	100	0	499467	2159822
HRGM_Genome_1057	GUT_GENOME000432	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	178	South America;Africa;Oceania;North America;Asia;Europe	Austria;South Korea;Denmark;Netherlands;Bangladesh;France;Fiji;United Kingdom;Peru;Spain;Estonia;Israel;Sweden;Kazakhstan;Madagascar;El Salvador;China;Finland;Japan;United States	HGM;HBC;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	100	0	87267	1948071
HRGM_Genome_1058	GUT_GENOME230915	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002300045	4	Africa;Asia	China;Madagascar	CIBIO;HGM	MAG	Indirect	HQ	98.5	0.75	40644	1593339
HRGM_Genome_1059	GUT_GENOME096459	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia polynesiensis	1			NCBI	Isolate	Direct	HQ	96.32	3.71	13832	2878449
HRGM_Genome_1060	GUT_GENOME096462	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_D;s__Bacillus_D sp000821085	1			NCBI	Isolate	Direct	HQ	97.22	2.27	4476411	4702581
HRGM_Genome_1061	GUT_GENOME096465	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Planomicrobium;s__Planomicrobium massiliensis	1			NCBI	Isolate	Direct	HQ	99.34	0	3357017	3357017
HRGM_Genome_1062	GUT_GENOME096466	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus;s__Tessaracoccus massiliensis	1			NCBI	Isolate	Direct	HQ	98.25	0.52	717770	3211248
HRGM_Genome_1063	GUT_GENOME096467	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Nigerium;s__Nigerium massiliense	1			NCBI	Isolate	Direct	HQ	97.41	0.65	1557177	2934258
HRGM_Genome_1064	GUT_GENOME096468	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E massiliensis	1			NCBI	Isolate	Direct	HQ	98.3	0.79	1010626	4723534
HRGM_Genome_1065	GUT_GENOME096469	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Mobilicoccus;s__Mobilicoccus massiliensis	1			NCBI	Isolate	Direct	HQ	99.82	2.35	396101	3841955
HRGM_Genome_1066	GUT_GENOME096470	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Beduini;s__Beduini massiliensis	1			NCBI	Isolate	Direct	HQ	100	0	666513	2850586
HRGM_Genome_1067	GUT_GENOME000614	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Beduini;s__	2	Europe;North America	Canada;United Kingdom	HBC	Isolate	Direct	HQ	100	0.94	329700	2897757
HRGM_Genome_1068	GUT_GENOME096472	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Risungbinella;s__Risungbinella massiliensis	1			NCBI	Isolate	Direct	HQ	100	0.19	2122970	3421198
HRGM_Genome_1069	GUT_GENOME096473	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	63	Oceania;NA;North America;Asia;Europe	Mongolia;Denmark;South Korea;NA;Sweden;France;United Kingdom;Kazakhstan;Fiji;Spain;Canada;China;Estonia;Japan;Israel;United States	NCBI;HGM;HBC;KIJ;CIBIO;PATRIC/IMG;CGR;EBI	MAG;Isolate	Direct	HQ	99.62	0.38	3531919	6486757
HRGM_Genome_1070	GUT_GENOME140245	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii	22	Europe;NA;Asia	South Korea;Denmark;NA;China;Israel;United Kingdom	NCBI;HGM;KIJ;CIBIO;CGR;EBI	MAG;Isolate	Direct	HQ	99.62	0.38	347093	6348904
HRGM_Genome_1071	GUT_GENOME000944	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	14	North America;Asia	Canada;South Korea;United States;China	HGM;KIJ;CIBIO;CGR;EBI	MAG;Isolate	Direct	HQ	99.62	0	349867	6515109
HRGM_Genome_1072	GUT_GENOME239789	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	15	Europe;Asia	South Korea;Denmark;China;Japan;Israel;United Kingdom	CIBIO;KIJ;CGR;EBI	MAG;Isolate	Direct	HQ	99.42	0.38	430483	6085081
HRGM_Genome_1073	KIJ_genome_16119	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	10	Asia	Japan;South Korea	KIJ	MAG	Direct	HQ	96.09	0.32	28206	5910401
HRGM_Genome_1074	KIJ_genome_27668	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	2	Asia	Japan	KIJ	MAG		MQ	85.15	1.057	51061	6067347
HRGM_Genome_1075	GUT_GENOME097684	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides timonensis	6	Asia	Japan;China	CIBIO;KIJ;EBI	MAG	Indirect	HQ	96.07	0.58	65806	5999279
HRGM_Genome_1076	KIJ_genome_16136	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	10	Asia	Japan;South Korea	KIJ	MAG		HQ	99.23	0.192	104731	6823196
HRGM_Genome_1077	GUT_GENOME002158	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	3	Europe	Sweden;Denmark	CIBIO;HGM;EBI	MAG		HQ	98.62	0.13	57910	5935659
HRGM_Genome_1078	GUT_GENOME105301	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	2	Europe;North America	Sweden;United States	CIBIO	MAG	Direct	HQ	91.92	0	81262	5309957
HRGM_Genome_1079	GUT_GENOME095982	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F botulinum_A	17	Europe;NA;North America	Sweden;United States;NA	CIBIO;PATRIC/IMG;NCBI;EBI	MAG;Isolate	Direct	HQ	100	0	2710723	4102325
